content,label,score
aplikasi aneh dah status kerja tapi gara ada satu foto miring data gak verifikasi padahal foto kalau zoom masih lihat jelas angka huruf,negative,98.972%
awal apk bisa trs pas log in kembali tidak bisa masuk kalian yg seperti sampai hapus cache uninstal download lg tp tidak bisa masuk log in bahkan sampai restart hp syarat tidak lupa username pw silah hubung orang tugas kena sirekap lurah anda agar segera buat akun baru alhamdulillah langsung buat baru bisa kembali jika sdh ok jgn hapus cache apk agar terus simpan data loginnya kalau udh ok apknya jgn otak-atik,negative,93.591%
hbs d suruh uninstall yg lama trs d suruh lg hapus cache hapus data uninstall n download lg yg versi baru malah hasil aplikasi web tidak dapat guna d sruh lg habis data n hapus cache download ulang lg akhir baru bisa moga bs lancar hari h tdk seperti sblmnya,negative,67.768%
aplikasi bapuk banyak bug saat ambil photo selalu lag kemudian ketika sudah beres semua gak bisa upload pdf minimal telah update lebih bagus malah lebih buruk,negative,99.781%
utk kamera tolong d buat lebih fokus lg kes lambat goyang trus susah fokus jd walaupun skrg uploadnya sdkt tp bikin lama pas pilpres fokus kamera sudah lumayan bagus,positive,90.424%
bug buat dokumen lama foto halaman capres tidak bisa buka edit sdh ada maju aplikasi saran server bw nya besar agar bisa upload cepat,negative,86.045%
testimoni tps bago tanggul kena guna aplikasi sirekap pilkada tahun cukup bagus ada tingkat banding pilpres tahun mungkin ada kendala jaring tetapi proses tetap jalan lancar,positive,96.373%
aplikasi gak bisa login suruh pakek app kalau belum siap mbokya gak usah pakai aplikasi bikin susah yg kerja aja suruh uninstall trus hapus data download lagi ttep sama gak bisa login pas pilih bimteknya submit ga jalan pakek hp istri juga sama,negative,85.234%
kalo kata mah mending apk batalin banyak kendala kalo bom siap pake aplikasi mending gak usah udah deket pilih tapi banyak kendala uji coba nanti aja telah pilih ngalamin milu sampe pilkada,negative,99.310%
semua lancar jaya tapi pas mau bikin pdf selalu muncul sesi waktu sdh habis balik awal masuk email dll gitu aja terus sampe ike nurjanah ngeluarin album baru,neutral,76.692%
abis update malah terjadu salah gagal dapat kunci digital gimana apk bukan mudah malah bikin bingung apk siap pakai tidak,negative,99.575%
tidak ada ubah selalu salah baca angka server selalu keteter niat mudah cepat tapi malah sulit,negative,99.613%
sangat bantu tugas kpps hitung oleh suara cuma kendala nya sinyal kalau sinyal kurang dukung ya tidak bisa unggah data,negative,89.353%
baguss sangat mudah paham namun tolong diupgrade lagi min dulu versi hp bisa masuk tapi skrg pake versi tidak bisa masuk,neutral,71.480%
udah bolak balik uninstall install hapus data clear cache masih juga mentok inisial gagal masuk whyy pdhl hr uji coba ya ampun tolong masih perlu baik nih aplikasi,negative,81.160%
telah diupdate ada sukses ada malah jadi salah saat laku inisial ingat gagal dapat kunci digital,negative,98.176%
aplikasi busuk kalau belum bisa bikin aplikasi bagus tidak usah pakai aplikasi event besar milu pilkada aplikasi masih banyak bug kek gin kok mau rekap data milu pilkada,negative,99.712%
aplikasi sudah install tapi sampai sekarang notifikasi kpu belum ada tolong segera atas makin kesini makin dekat hari mungut suara,negative,66.943%
sirekap hanya dar beban anggar yg tidak sesuai benar tdk harus ribet pake aplikasi cuman tambah kerja aja dlu gak pke aplikasi pda jdi presiden atau anggota perintah nya,negative,80.574%
sudah kali kali nyoba buat login gak bisa uninstal kali tetep hasile sama gak bisa masuk lagi udah masuk tinggal submit gak bisa klik,neutral,73.048%
aplikasi tidak buat oleh orang orang alam ahli bidang tp baru lupa pasword aja sudah sulit cari solusi,negative,99.753%
hadeuh nyusahin aja sampai riset hp udh ngelakuin cara ttep gbisa login depan saran jangan pake sirekap aja kalo nyusahin buat mending kek dulu manual aja udah kalo mau pake aplikasi jangan sampai pake tangan buat isi kertas apk apk kertas ya kertas,negative,99.216%
wadalah ada error reinstall app malah lagi blok pdhl udh kunci kirim semua berkas tinggal bagi absen dptnya error asli malah nyusahin ngent,negative,99.687%
kenapa tidak bisa login aplikasi sirekap padahal login bimtek bimtek aman aja sekarang login bimtek gak bisa sama sekali mohon bantu,neutral,66.688%
versi telat dapat notif aktivasi sekarang sudah aman bisa login dib malah suruh ganti alhasil malam sampai bangun pagi tidak bisa masuk hadeuwhhhhhhhh belum hari h sudah bikin puyeng,negative,99.358%
aplikasi apa klo bikin aplikasi budget dana atau anggar jangan potong ya ingat ya aplikasi milu baik pilpres atau pilkada klo aplikasi burik kyk gin masih tahan ntar klo ada kalah bilang sabotase curang standar ganda padahal emang aplikasi yg burik,negative,98.817%
ver ganti file apk ver bisa langsung masuk mudah lancar guna saat hari h tdk seperti saat pilpres pileg sehingga jadi celah serang oleh bagai pihak,negative,84.819%
apilikasi buruk pernah ada udah masukin username password benar tetap nggak bisa login udah gitu nggak ada fitur lupa password dll developer juga nggak jelas chat lewat email tidak ada respon sama sekali bagaimana pilkada nanti mau jalan baik ya apk sirekap nya bgni apk perintah kok massa iya buruk bener-bener prihatin sekali,negative,99.748%
lebih mampu server juga si seperti aplikasi jauh kemarin uji coba beban mengupload sesuai kondisi hari h agak butuh waktu unggah berkas benar tampil aplikasi ya gak jauh beda milu kemarin tapi kok ya ukur gajah apalagi kalau sudah guna login ambil gambar langsung bengkakl x lipat secar seluruh kerja sudah bagus hanya tolong kondisi saat hari h agar servernya bisa mengakomodir,negative,66.078%
kendala unggah daftar hadir tolong benah lagi aplikasi hasil kamera sirekap buram kurang stabil saat ambil foto c hasil dll malam hari lebih bagus pakai kamera bawa hp saat ambil foto,neutral,39.987%
kesel dikit ruang simpan masih gb tp masih aj gagal kunci dokumen daftar hadir segala macam tapi harap moga hari h nya lancar,negative,99.003%
sudah uji coba semua lancar tapi pas selesai unggah tidak ada menu share jadi kerja sampai karna belum share,negative,53.437%
sudah lebih banyak maju gambar lebih jernih proses login lebih mudah hanya kendala upload daftar hadir perlu waktu yg sangat lama,positive,96.830%
aplkasi burik sangat susah didownload tambah lagi pas unggah berkas sangat susah yg buat aplikasih lebih baik hapus sj lebih baik pake manual yg dulu pake manual sj milu jalan lancar sekarang malah pake aplikasi buat tambah ribet tambah lagi aplikasih yg tdk guna aplikasi sangat burik buang pulsa data,negative,99.483%
coba aplikasi nya jelas aplikasi log-in susah error terus update bukan makin bagus malah makin jele aplikasi kata mudah malah jadi sulit buat developer nya pr banget nih buat baik bug,negative,99.574%
anggar besar aplikasi burik susah login akun disable aja terus update terus sampai mencret kenapa ga ada tombol lupa password,negative,93.955%
bintang satu sudah cukup alhamdulillah ya kenapa sekarang servernya malah lot macet selancar dulu sih,negative,99.096%
lebih mudah ukur file tiap item max berapa mb apabila tdk beri jelas akan jadi seperti jadi pileg pilpres yg akibat error send file karena lebih beban file yg kirim moga embah lebih jelas beri jelas agar mudah user terima kasih,positive,59.250%
telah aplikasi tutup gak bisa lg buka kata salah password padahal sdh simpan passwordnya gak mungkin salah,negative,68.360%
buat aplikasi tolong benerin masa bentar lagi apk mau pake ada tulis apk tidak dapat guna terus grup malah kasih link buat instal apk mana pas klik muncul apk bahaya bisa ada virus nya bisa nyuri data juga bisa bocor informasi hp juga piye toh kita tuh cuma mau kerja kalau mau fasilitas bener bikin apk nya kelas perintah ko bikin aplikasi gak karuan gin plin plan musingin make aja tambah pajuriwet,negative,99.466%
gak bisa akses sudah donwload mau login eh stuck submit mulu udah hapus cache udah uninstall brapa kali trus donwload lagi ttap bgitu,negative,89.180%
tidak beri opsi lupa password jadi nggak bingung harus tanya kesana kemari kali nyoba login gagal terus solusi gimana,negative,86.567%
pas login kok malah gagal dapat kunci digital pas hasil proses inisial kok malah suruh install chrome padahal chrome udah ada,negative,69.698%
tolong benah kerja sistem dlu jangan kayak proyek sifat penting jadi masa iya belum tahun milu atau pilkada siap gitu aja buat aplikasi apalagi nanti wkwkw buat kunci upload aja lama,negative,99.641%
tidak bisa menggambil gambar foto telah update belum fungsi ver,neutral,92.078%
sudah beberapa kali instal hapus aplikasi gak tau hp login bisa tetapi submit profil tidak bisa gak tau kok bisa jadi seperti ya,neutral,71.392%
aplikasi sangat kutng guna tambah beban fikiran sistrmmasih bobrok baca angka sangat amat tidk mumpuni hapus sitekap,negative,92.641%
uang milyaran cuma bisa bikin aplikasi kayak gin sampah eror terus gak ada habis gimana nnt hari h gak ada evaluasi ya tim itnya orang bikin apps biar kerja masih cepat malah nyusahin nyebelin petinggi gak beres it nya gak beres cocok tim it nya orang yg profesional harus ganti orang yg sekarang ngerjain projek malas kalian udah mau dekat milu baru asik kalian update lama mana aja memang asu,negative,97.943%
alhamdulillah aplikasi sudah lebih lancar guna saat hari mungut suara lancar tanpa ada kendala sama sekali good kpu sudah benah masalah milu kemarin,positive,94.478%
gak bisa login perlu otentikasi yg gak tau harus nyari mana otentikasi nya karna gak ada dapat chat wa atau lalu email kode otentikasi,neutral,93.005%
rasa mohon evaluasi kait sirekap jangan sulit kita sistem sama seperti pilper tidak ada benah sama sekali kendala upload daftar hadir nyiksa antal antalan,negative,98.998%
aplikasi butut heran kpu kasih waktu tahun buat ni aplikasi tapi hasil malah ada kayak ga niat buat lebih hemat budget mungkin gak bisa unggah foto galeri kualitas foto jadi jelek banget blur gak ada flash sudah unggah suka minta foto ulang mana buat repot kali kalo amanah buat aplikasi tolong buat baik mungkin masuk teman sudah ulas tolong pikir,negative,99.352%
kenapa tidak bisa login padahal versi belum lancar tidak ada kendala sekarang ngestuck login aja,neutral,90.395%
segera baik menu detail pilih sebab gagal laku koreksi hasil ambil foto form c periksa form c hasil jendela periksa sesuai data hanya bisa kasih x cross tidak sesuai tp jumlah yg perlu koreksi tidak muncul editable box nya terima kasih,neutral,87.973%
aplikasi gagal suka nge bug over akses bikin lot kamera tidak bisa fokus kualitas gambar tulis jadi blur unggah gambar tulis tunggu saat tapi hari blum selesai proses unggah cara pengaplikasianya cukup mudah tapi ya seperti tadi contoh aplikasi milu tahun sampe sekarang gak ada ubah,negative,94.783%
aplikasi bener buat pusing padahal sudah lakuin bagai cara hapus simpan hapus data uninstal aplikasi terus download lagi padahal simpan masih sisa banyak tetep aja gak bisa sampai ngerelain dokumen penting hapus juga tetep gak bisa terus harus gimana,negative,99.432%
khusus buat developer sirekap nih bikin aplikasi tuh buat fitur reset lupa password biar gampang orang orang tuh kalo lupa password ga harus kontek sana sini,neutral,87.064%
lucu ya kelas app perintah kok bisa gin harus nya klo tidak sedia versi rendah harus nya bisa langsung upgrade versi baru lewat playstore malah kata sudah tidak guna laku malu kita sama aplikasi,negative,99.318%
tolong lebih tingkat lagi utama kamera agar fokus kasih flash upload terlalu lama data yg baca salah jd harus edit sendiri sangat buang waktu lambat kerja fitur edit tambah jangan skali pencet g bsa ubah lagi  agar bisa edit sampai data bner bner sesuai cukup bantu dr yg belum tapi banyak nyusahinnya aplikasi ,negative,99.171%
aplikasi sangat tidak layak guna tidak akan cepat tapi malah sulit mohon sempurna lagi sangat banyak kurang saat hp posisi online aplikasi deteksi offline saat unggah foto aplikasi tidak benar bisa baca angka c plano unggah foto menu dpr waktu sangat lama dll masih banyak kurang,negative,99.087%
kualitas gambar foto simulasi burem ga jelas dlm aplikasi ga ada fitur buat fokusin camera jadi banyak bgt salah baca data ada beberapa bug juga kunci data buat dokumen pdf loadingnya lama banget bahkan ada ga bisa sampai hari mungkin bug tolong baik milu tinggal berapa hari lagi aplikasi bisa bilang belum fungsi optimal,negative,99.334%
aplikasi terlalu banyak manual bukan mudah tpi lama jumlah masih manual tidak otomatis jika jadi tidak sesuai suara hanya beri tanda tidak bisa ubah angka benar ketika kirim foto mental ketika foto c hasil meski buram tapi tetap lolos verifikasi tidak bisa hapus foto edit jumlah suara belum kunci dokumen ketika login sulit ketika mau kirim pdf saksi awas mental lagi kalau belum siap jangan paksa,negative,98.397%
aplikasi kelas nasional benar benar jelek unggah gambar susah buat mode pesawat bisa tapi harus masuk angka manual belum lagi buat dokumen pdf nya lama mulai sore sampai pagi tetap tidak bisa buat tim buat aplikasi kalau ada komen komen gin tolong baca baik karena pakai aplikasi kpps lancar milu juga besok buat lama bukan hitung suara tapi sirekap masalah bukan mudah jadi sulit,negative,98.984%
bukan mudah malah sulit login error susah lama kualitas upolad gambar jelek tulis bagus malah tidak baca verifikasi gambar juga lama buat berkas pdf juga lama tolong segera baik jika memang niat mudah,negative,99.284%
mohon maaf sekali tapi aplikasi tidak mudah tetapi berat banyak sisi misal spesifikasi harus ram dgn sistem android koneksi stabil dapat sidik jari dgn posisi guna serentak seluruh indonesia scan tunggu tanda hijau sabar uji sekali bahkan ketika sulit login,negative,70.015%
dasar hasil alam simulasi banyak sekali kendala sistem nya awal kirim foto kadang hasil kirim tapi proses nya ngak bisa padahal kualitas foto turut kita liat sudah sangat pada foto dpr yg tes satu yg verifikasi ngak bisa kita coba lanjut kunci pdfkan karena tidak selesai semua sudah ulang kali coba tetap ngak bisa proses,negative,99.245%
aplikasi bwt formalitas aja mangkanya tiap kali baru aplikasi gak ada tingkat kualitas baik aplikasi yg kurang stabil maupun server yg guna sehingga pas waktu catat hasil milu lalu aplikasi seringkali jadi error,negative,98.294%
mohon benah kembali tulis x kadang sering baca jadi hati buat kawan si rekap walau tulis sudah hijau belum tentu data sama yg sudah foto moga cepat si rekap fungsi mesti hari h nanti mudah rekap data layak,positive,57.947%
mohon tambah beberapa menu mode kamera yg akan guna beberapa kamera hp auto mode tidak bisa rubah mode normal optimal sehingga banyak masalah gambar tidak foto jelas ketika uji coba upload foto ada log-out log-in sendiri alhasil beberapa kali ganti password bahkan banyak foto tidak kirim sangat hambat proses kirim foto sirekap,negative,99.496%
sudah simulasi nasional simpul aplikasi lot sekali proses gambar kadang bisa otomatis potong langsung sesuai halaman kadang tidak otomatis sering tidak otomatis aplikasi tidak bisa efektif efisiensi giat saran harus baik agar tidak lot saat proses foto gambar bisa otomatis potong serta guna bisa sinkronisasi guna proses lanjut,positive,47.209%
fitur sirekap belum sepenuh mutakhir perlu tingkat kembali jangan sampai gara-gara apk tugas kpps salah perlu tingkat hasil scan tidak bisa edit x al hasil ketika ada revisi tidk bisa ubah daftar hadir tidak ada opsi dpt dpk dptb proses upload relatif lama seperti server belum siap tampung mode offline banyak blank tidak baca server padahal aplikasi sudah sukses kirim mohon perhati depan,negative,89.297%
sedikit saran ttg aplikasi aplikasi agar bisa akses kamera utama supaya gambar yg ambil lebih tajam hasil karna lama uji coba kemarin gambar yg ambil rata blur walaupun cahaya cukup padahal banyak teman sirekap punya device yg lumayan bagus dr segi kamera hasil gambar jg sangat pengaruh saat upload gambar yg sering gagal tidak baca oleh sistem mohon baik atau tingkat terima kasih,positive,45.778%
sering sekali app log out sendiri hasil gambar jika memang kurang jelas mohon ada ingat jadi bisa foto ulang ingat foto jg tdk bisa ambil galeri tulis yg tdk baca mohon beri ingat jg karena jika meng klik detail sering jadi problem shg buat sulit tugas mohon baik lagi,negative,82.493%
sulit seperti apk nya bom layak guna angka yg foto yg baca tidak sesuai kadang juga tidak baca bisa edit jatuh nyalin hasil mohon tingkat terimakasih,negative,98.331%
telah update tidak bisa login loading nya lama padahal pakai ram gb internal juga masih banyak simpan mohon tingkat lagi kualitas foto sangat beda jauh hasil dr kamera langsung sama dr aplikasi si rekap sehingga sangat susah baca batas garis april textnya walaupun cahaya sudah cukup bagus,negative,94.573%
developer lebih baik mundur tidak profesional kembang aplikasi acara penting seperti tuju digitalisasi adalah mudah efisiensi waktu tapi tidak apk sulit habis banyak waktu tambah kerja bagi it kpps foto tida ada stabiliter auto fokus selalu gagal verifikasi foto meski foto posisi sempurna sering log out ketika kirim foto nunggu upload foto terlalu lama ujung ujung suruh ngulangi,negative,98.490%
sampai saat versi mohon fitur kamera lebih tingkat karena aplikasi tidak sinkron lensa utama handphone tetapi malah sinkron lensa ultra wide yg sebab hasil foto kurang maksimal bahkan kurang jelas baca teks maupun angka,negative,97.170%
aplikasi belum matang tampil upload file bikin panik karena tidak ada icon tunjuk file masih proses menu impor foto juga tidak ada jadi harus foto ulang terus imbas nya kpps sirekap harus foto bolak balik c hasil kamera juga tidak mudah deteksi angka c hasil plano harus nya aplikasi belum layak guna menu edit hapus kelola kpps saksi panwas juga tidak ada,negative,99.139%
tuju buat aplikasi adalah mudah bukan sulit uji sabar mau login aja susah saat inisial aplikasi baharu malah akun jadi invalid username password saat upload gambar hasil kurang jernih fokus ga rata tidak kalau hasil foto aplikasi kurang bagus tolong kasih opsi buat upload foto gallery baru simulasi aja susah apalagi pas hari h,negative,95.483%
aplikasi terlalu banyak bug sertifikasi kunci digital sering error bisa buat akun hanya akun sirekap web milik kpu kab kota sehingga paksa bolak balik kota jika kpps jadi soal akan lebih efektif efisien apabila ppk beri akses akses buat atau edit akun kpps,negative,96.142%
aplikasi sangat tidak mudah guna nya minta tolong mobile developer nya apk nya baik saran ambil foto baik guna bentuk pdf karna kertas plongko tidak kecil kerja nya pasti malam jika ubah jadi pdf pasti bisa zoom sampai akar sangat tidak mudah guna,negative,99.328%
tolong sempurna lagi fiturnya tidak ada autofokus saat scan buat gambar susah deteksi gagal kali saat hendak kirim server pemrosesan gambar juga sangat lambat aplikasi hanya sekali input buat kalau ada salah tidak dapat koreksi,negative,98.343%
masalah yg harus jadi perhati kembang hasil foto jadi blur hasil foto aplikasi resolusi jd rendah shg tdk bisa baca sistem x sbg ganti angka depan angka oleh baca jadi misal x baca,negative,95.573%
developer tolong maksimal kembang aplikasi belum mateng seperti jangan berani rilis milu tinggal besok udah pakai buat bimtek malah problem macem invalid username password masih ada yg blm bisa login kasi bos pegang aplikasi nya sabar sampai habis jaring bagus bilang aplikasi tidak ada jaring offline ga bisa buat upload daripada kacau saran siap dulu matang - tahun trial and error baru lepas,negative,90.667%
sangat sangat uji sabar device realme cs nyata gak bisa akses gais betul alami telah coba device samsung nyata bisa padahal spesifikasi device sudah sesuai tapi tidak jamin nyata saran depan jika memang aplikasi guna mudah proses milu baik siap baik mungkin jangan seperti banyangkan sudah h- hari tapi aplikasi masih banyak kendala alhamdulillah guis telah diupdate udah gampang loginnya,positive,56.281%
username pasword salah terus padahal awal masuk aja gabisa apalagi ganti pasword maksutnya gimana username sama pasword sesuai yg kirim sama aktivasi kpu siap buat aplikasi sistem kayak kurang kalau jaring simpan pengaruh pakai device ram guna wifi yg hanya yg pake karena sengaja masuk aplikasi aja,negative,98.807%
ada apk mudah proses nya nanti tapi kalau awal aja udah begini banyak eror sistem enggak jalan yo buat tolong aplikasi nya siap lebih matang tahun depan bintang dulu nanti misal apknya ada tingkat rate ulang,negative,95.867%
instansi sangkut alangkah bagus belum laksana milu aplikasi sirekap uji coba dulu riset ambil sampel banyak agar tau lemah mana supaya bisa baik jujur skrng aplikasi sirekap banyak lemah utama hitung suara sirekap plano jadi tidak sesuai hitung suara tidak bisa ubah atau sesuai plano ada pihak selenggara  mohon perhati terima kasih,negative,72.814%
belum ingin apresiasi digitalisasi aspek kait milu tapi harus aplikasi kembang sejak lama kesan lihat seperti baru kembang kemarin sore jangan masuk jalan inisial nya susah entah time out error bagai bukan mudah malah tambah masalah rasa,negative,99.298%
aplikasi parah kelas milu aplikasi kok begini mulai sering eror ada instruksi harus ofline tiba harus online aneh beda hasil antara hasil real baca hasil aplikasi tidak bisa edit oleh operator sirekap kalau seperti gmn ga nama curang,negative,99.760%
kualitas kamera apk nya jelek hasil foto jadi buram ku kira bakal otomatis seperti hasil scan terang jelas tapi nyata tidak login susah upload susah verif lama bukan cepat tapi lambat jika belum siap tidak perlu paksa hanya hambat,negative,99.755%
kalo gambar sdh verifikasi sdh tidak bs hapus ato ambil ulang gambar padahal blm kunci masih banyak kendala lain salah satu angka hasil scan yg muncul seringkali tdk bs edit hal potensi panjang durasi kerja kpps banding thn kemarin,negative,90.633%
saran mas admin - pas simulasi hal ppwp saat ambil gambar nilai gambar hasil sering tidak sesuai sementara tidak ada menu edit angka nggak baik hal ppwp kasih menu edit angka jumlah biar bisa singkron antara nilai c hasil jepret sirekap padahal pas bimtek kata maksimal upload gambar x lha kalau x masih salah ga sesuai terus nanti nggak sulit hasil hitung matursuwun,positive,39.095%
aplikasi belum layak operasi bisa lihat komenan kawan pas unggah selalu logout sendiri kualitas gambar bukan salah spek android camera saat poto biasa jernih fokus aplikasi hasil poto buram tidak dapat fokus manual mungkin ingat kualitas gambar hd makan simpan besar mungkin tapi kualitas buram terlalu kecil tolong baik cepat,negative,98.083%
aplikasi sangat sangat tidak stabil masih harus butuh baik banyak sisi karena kadang sering logot sendiri kadang apk tidak dapat jalan tidak semua android bisa jalan apk sebut padahal antara versi android hp hp sama tetap tidak dapat jalan,negative,98.947%
buat milu lo jangan main main apresiasi digitalisasi karena ikut kembang jaman namun akses aja susah mau inisial aja sudah hari gk bsa tolong perhati kena sistem efektifitas penggunaanya jangan sampai nanti malah sulit ketika milu langsung,negative,95.181%
aplikasi lama foto terlalu dikompress ukur kecil sehingga hasil foto talu jelek blur tidak bisa baca sistem server busuk proses login sangat susah banyak bug klik point sering eror aplikasi baru selalu gagal login dgn masalah variasi woy aplikasine sing bener,negative,98.763%
aplikasi kenapa buat login malah gabisa udah masuk pin sidik jari hp tapi malah ngga bisa inisial lebih baik lebih perhati agar tidak sulit guna nya capek kak salahin jaring terus pdhl jaring bagus bgt buat scroll aplikasi ngga ada masalah sama sekali jaring wkwkwk tolong lebih perhati lagi aplikasi beberapa banyak juga alami seperti,positive,80.546%
ambil gambar padahal otomatis sudah titik posisi pas tetapi kenapa hasil selalu ada terang ambil gambar salah padahal sudah update versi baru tolong tingkat lagi kualitas cepat sistem nya baik lagi kalau begini terus sampai hari h ujung ujung ya pakai salin rekapitulasi manual,negative,96.861%
aplikasi kes terlalu paksa terlalu buru terlalu banyak masalah kendala lapang terlalu banyak bug versi pertama baru berapa hari muncul suruh simulasi eh simulasi blm kelar malah ada lagi versi trus beres kapan milu tinggal hitung hari aplikasi kalau tidak bisa guna mending gausah luncur buat ribet,negative,99.387%
sangat apresiasi apk tapi tolong karna pakai banyak performa server pusat baik karena login sulit apalagi kalau upload foto rekap interface apk juga baik agar lebih enak lihat mudah user erti kalau memang belum siap launching jangan launching baik error ada dulu,positive,70.398%
terlalu paksa guna siap bisa bilang gak ada bukan belum matang masih banyak bug error lot tetap bisa indikasi ada bobol data curang suara lihat kualitas kemananan server aplikasi yg gak jelas h- milu,negative,99.784%
tolong kurang bug mudah login sinyal kecil juga kalau bisa aplikasi tetap jalan soal kalau mode offline harus ediy angka satu satu malah tidak mudah kerja kpps misal besok hari h aplikasi belum matang tolong rubah atur supaya tidak usah guna dulu daripada tambah bingung kerja kpps keteter tambah tombol edit telah check gambar agak bisa check ulang jumlah hla kalau salah satu kali aja jadi salah semua,negative,97.273%
aplikasi belum siap tapi paksa apalagi milu sudah tinggal hitung hari hp ketika loading terus muncul notifikasi jadi salah siap perangkat pasti anda hubung internet padahal paket data jelas sudah aktif pake wifi juga tidak bisa mohon tinjau ulang atau cek kompatibilitas agar luas soal jenis hp pakai kpps juga macam macam tidak semua hp baru,negative,94.561%
saran ai input bisa edit tambah coding bila online tetap dapat edit kalau memang mau koreksi jika offline nanti telah lengkap baru upload tidak harus metode offline online agar tidak jadi seperti banyak kpps tidak upload gara verifikasi saat online lupa aktif mode pesawat total suara baik kunci hitung otomatis data telah diinput aplikasi buat mudah bukan sulit,positive,92.103%
telah update malah gk bisa masuk kendala username password nya salah padahal username password nya yg guna adalah password yg sudah otomatis simpan hp gk layak pakai aplikasi seperti bukan nya mudah malah ngabisin kuota hadehh,negative,99.627%
sangat apresiasi sekali hadir aplikasi namun waktu simulasi serta mengalmi beberapa kendala seperti aplikasi salah baca data ambil hasil ambil gambar selalu buram atau kurang maksimal ambil gambar ulang namun tetap slow respon depan moga waktu laksana hari h semua bisa kendali jalan baik moga depan negara indonesia jadi negara lebih maju pimpin yg baru,positive,96.752%
aplikasi susah hitung kpps foto kertas selalu tidak akurat server sangat lemah mungkin kurang anggar butuh dana lebih rp m aplikasi golong gampang jebol karena tidak server sided sangat susah guna karena tidak bisa ambil foto storage hp aplikasi golong lot masih banyak bug kembang lambat asal asal guna sdm gen tetapi aplikasi masih sangat lambat masih banyak sampai no dsb,negative,98.859%
benar buruk aplikasi dipake se indonesia harus kalo memang masih eror seperti terus mending tidak usah bikin aplikasi sirekap kata buat mudah tapi hasil sulit aplikasi hampir tiap minggu ganti versi,negative,99.670%
