content,score,label
belum ingin apresiasi digitalisasi dlm aspek yg kait dgn milu tapi masalah log in banyak error yg jadi saat login lalu aplikasi sementara lalu web tdk ada kendala buat pandu elektronik yg jelas upa video kait atas masa login karena saat bimtek banyak yg tdk bagi ikut meeting zoom hendak laku uji jauh hari tidak tahun belum luncur jgn sampai yg tuju u mudah malah sulit ty,93.987%,negative
aplikasi eror terus,99.651%,negative
terlalu gagal utk jadi aplikasi bantu sulit tugas si rekap percuma tekhnologi maju buat gin aja gabisa,99.721%,negative
bukan mudah cepat malah bikin lama kpps aja mending milu depan ga usah pakai aplikasi seperti lagi karena malah buat repot,99.700%,negative
ngelag server down gabisa dipake sering fore close sendiri bosok,99.634%,negative
astaghfirullah kali ya aplikasi hari ku coba gak bisa bisa login pagi siang malam tengah malam gak bisa kacau milu udah mau dekat woi halo hari h hitung nanti juga error kayak gin dapat dana besar tolong baik aplikasi,98.658%,negative
kenapa apknya selalu maintenance gimana ntr pas hari h,71.231%,negative
belum layak kpu tingkat nasional punya aplikasi tidak valid seperti,98.162%,negative
todak bisa login todak bisa update tidak bisaaaaaa acakk aplikasi,84.164%,negative
jangan canda lagi ya nih bintang dulu tau bug nya anu,70.569%,negative
sangat sulit,99.645%,negative
eror terus taik nyesel gua milih sirekap gagal unduh terus anehhh,99.812%,negative
susah banget padahal sudah tak hapus semua aplikasi yg ada hp sisa yg penting tapi tetep henti proses inisial,99.004%,negative
tolong bisain punya biar bisa login jangan bikin pusing yooo,85.242%,negative
apliksinya sangat lelet utk wilayah provinsi gorontalo khusus kabupaten boalemo camat botumoito desa hutamonu,90.121%,negative
baru mula sudah error,99.639%,negative
nyata versi nya masih belum upgrade,80.479%,negative
tolong min punya ga bisa masuk failed terus mana sirekap,68.690%,negative
kalau bisa tidak usah dipakek sulit kpps saj,89.812%,negative
astagfirullah aplikasi  ampun aplikasi asal jadi entah berapa budget keluar aplikasi aslin prah,99.659%,negative
aplikasi parah bgaimna kalo smpe hari h nda bisa buka ni aplikasi nda perna login mar pas login usernmae dng password salah milu nda mo sukses klo pake aplikasi,98.382%,negative
astaghfirullah aplikasi yg bener uji sabar iman sudah berpa kali instal dn un instal kali mah adaterus demi bisa masuk tpi nyata masih belum bisa msuk juga,96.000%,negative
apk susah sok canggih tapi banyak eror,99.779%,negative
aplikasi suka eror,99.752%,negative
lihat ulas teman belum seperti keluh sama aplikasi belum jalan sempurna dapat whatsapp resmi kpu akses login aplikasi suruh ganti pasword pasword baru update aplikasi tetapi malah tidak bisa login tolong developer baik cepat,95.563%,negative
tidak bisa buka pusing tugas kpps sirekap - -,94.863%,negative
kenapa rata aplikasi perintah kurang bagus ya,99.310%,negative
heran kalo perintah bikin aplikasi mesti begini anggar gila tp buat aplikasi begini pasti ngedown jgn login masuk aplikasi aja gabisa calon bakal ada curang,99.626%,negative
aplikasi gak mutu,99.762%,negative
tidak berfunsi,98.813%,negative
berapa banyak dana korupsi ya buat bikin aplikasi sampah begini developer cuan nih awokwakwkakwk pin komentar kalo taun depan ada jabat kpu kena ciduk kpk hehehe,99.228%,negative
tolong mau login ngak bisa mulu mau uji coba tapi aplikasi blum bisa login bagaimana mau ngerti cara pakenya tolong baik teliti tanpa ada bug udah tinggal jauh banget tinggl bberapa hari lagi pilih tapi blm ngerti cara pakai,97.291%,negative
banyak sekali kendala saat login awal saat uninstall update kembali malah tidak bisa milih milih jenis hp padahal sudah sesuai dgn instruksi mohon timbang baik sistem nya apalagi guna oleh seluruh indonesia jangan sampai hari h seluruh server down,97.322%,negative
kelas aplikasi event negara masih buruk ui buruk ux apalagi belum lagi servernya,99.772%,negative
aplikasi penting tetapi tidak siap matang,99.373%,negative
ampas login aja gabisa,97.269%,negative
gimana nih aplikasi kemarin ga masuk masuk,64.929%,negative
tidak bisa insialisasi sudah hapus instal kembali ulang hasil nihil sangat kecewa mudah bisa baik,99.779%,negative
dri pagi sampai malm gak bisa masuk pw salah lh niat gak buat aplikasih yg benar lh,88.462%,negative
aplikasi sering ngehang,43.975%,negative
kalau belum siap jgn uji coba dlu henti dlu kek proses bimtek nya buat maintenance malah suruh paksa masuk,73.550%,negative
aplikasi tidak bisa guna bobrok bobrok bobrok,99.454%,negative
belum update nih versi,64.624%,negative
kirim wa suruh login kocak app nya aja belum siap gimana sih,97.191%,negative
terlalu banyak masalah aplikasi aplikasi jelek,99.827%,negative
masih sulit akses sudah coba kali kali tetap error instal uang kali kali,99.459%,negative
aplikasi lot suka error,99.632%,negative
terlalu paksa buang buang uang padahal uang sebut bisa pakai mensejahterahkan masayarakat butuh malah buat aplikasi tanggung macam,99.701%,negative
akun tidak bisa masuk disable terus terang nya,95.164%,negative
sangat sulit ketika aplikasi di-update login nggak bisa masuk gimana cara masuk jika lupa sandi pasword,94.519%,negative
tolong perintah serius siap server sistem jangan malah sulit tugas kpps karenan batas aplikasi hitung satu jam selesai loading upload dll makan jam sedang proses nanti harus rurut,97.459%,negative
jujur aja memang tuju mudah lebih efisien serta detail biar ga ada salah klo tuju bener bener bagus tapi masalah waktu inisiasi sertifikat digital muncul error timeout gagal verifikasi apa bikin sulit jadi belum juga email yg bisa hubung cantum aplikasi bahkan ga ada respon sama sekali kaya pajang aja wa sama email aplikasi,94.582%,negative
tolong lebih siap lagi biar kita pake mudah tidak sering trobel update terus,81.010%,negative
server nya kurang bagus,99.744%,negative
kenapa habis ganti pasword malah gagal tiap hari desak terus sama kpu pdhl hp android ram,98.340%,negative
sangat banyak kurang aplikasi tuju mudah malah lebih sulit baca angka banyak salah utama x sering baca kemudian aplikasi penting tidak ada opsi edit saksi pps panwas waktu mungut juga waktu hitung jika salah isi maka tidak ada jalan kembali kecuali direset langsung pusat,95.152%,negative
aplikasi belum optimal harus fixed jauh belum dekat hari h,92.083%,negative
otentikasi gagal hardware biometrik tidak sedia aplikasi ga ramah hp murah gagal inisial karena hp tidak ada fitur finger print,94.808%,negative
gak layak dapat satu bintang apk buruk pernah ada uang riset yg banyakin aplikasi malah eror tambah lagi dukung jaring macam taik lengkap sudah gimana mau maju seperti negara tingkat ajah belum siap,99.794%,negative
gak bisa login sampe detik,79.053%,negative
jelek banget,99.826%,negative
sudah ada nasional nasional tetap sertifikat digital tidak mau keluar,79.731%,negative
tolong kalau bikin aplikasi belum siap dipake jangan rilis dulu bikin pusing kepala,99.533%,negative
buruk apk gagal,99.773%,negative
bagaimana kalau sudah hari h mau guna tidak bisa bisa bisa masalah aplikasi yg buat kelar sampai pagi,55.467%,negative
msih gagal otentifikasi wlpun sudah android versi atau yg baru,94.914%,negative
aplikasi macam belum udah banyak eror nya kalau belum layak pakek jangan paksa malah nama coreng jadi seperti orang gaptek mata kpps,99.651%,negative
selalu bug masa iya hp ram gb eror terus,99.551%,negative
aplikasi belum stabil kok rilis kelas negara bikin aplikasi gin aja ndak bisa payah,98.658%,negative
baru juga instal sudah dapet terang aplikasi versi sudah tidak dapat guna kocak emang,99.016%,negative
kacauuuu,99.769%,negative
gimana kelas nasional masa buat login muter-muter terus belum siap gimana aplikasi terus kalo masih muter sampai hari mungut suara solusi bagaimana kata pakai pc atau laptop gak boleh harus pakai hp bikin repot sendiri,98.717%,negative
buruk tidak bisa guna sekira belum siap digitalisasi jangan paksa daripada nanti malah hambat saat lapang,99.786%,negative
aplikasi abal tdk siap guna smpai hari h bikin jengkel,99.696%,negative
sudah pasti belum siap,99.637%,negative
sirekap saat hari h tidak dapat fungsi sama sekali kerja harus bisa selesai paling lambat jam malam malah lanjut sampe jam pagi,79.933%,negative
nyusahin doang,99.793%,negative
proses aktivasi gagal padahal belum bisa login aneh,98.988%,negative
aplikasi kocak gagal login trs gmna sih heran deh,99.730%,negative
apk buruk kecewa sulit bukan nya mudah sinyal lancar tapi apk nya lot banyak kendala bagi scand data tidak deteksi takut hari h kendala takut admin salah tolong baik lagi apk nya belum hari h pilih sekian terima kasih,97.411%,negative
gagal login terus kacauuuuuu tim it nya,99.732%,negative
nasional sudah hasil login tp telah hasil login ada instruksi pindah nasional telah pindah le nasional error jadi tidak bisa login loading terus gagal mendaptkan kunci digital notifnya sdh clear chace restart hp tetapi masih belum bisa ketika tps ada sirekap jadi sama tidak bisa login milu tinggal hitung hari ketika hari h milu laksana nyata aplikasi sirekap tidak bisa guna solusi terimakasih,74.010%,negative
gagal terus tidak bisa masuk,99.213%,negative
mau login aja susah banget padahal udah upgrade malah log aut,99.256%,negative
lama tahun developer sirekap ngapain server ga ada baik dulu aplikasi ga ada kembang paling gak saat ambil gambar tambahin fiture flash atau paling ga resolusi ambil foto naik kasi buat operator sirekap yg sensor kamera ga bagus hasil foto jadi kayak vga noise mana,99.515%,negative
aplikasi aneh,99.630%,negative
tidak sesuai fakta lapang,99.754%,negative
bukan mudah malah nambah ribet udah log-in apk nya aja masih susah mending kalo niat mau buat apk milu udah otomatis kece data angka dll nya masih aja ga ada ubah masih sama seperti dulu,98.144%,negative
untrust buruk,99.784%,negative
lot apa sulit masuk,99.184%,negative
susah mau login ketika coba foto langsung logout sendiri sekarng malah invalid username password padahal besok sudah h- kalau gak siap lebih baik gak usah pakai aplikasi,96.252%,negative
aplikasi busuk kelas kpu selenggara pemunggutan suara aplikasi prematur guna mana kesiap kpu tiap milu hanya ajang tender aplikasi,98.552%,negative
ndak ada mode refresh server sibuk kontak dev tak ada,73.156%,negative
server down terus,99.756%,negative
lama kali gambar d proses ga kelar kerja,99.647%,negative
buruk banget hape udh versi andro tapi kenapa gabisa,99.706%,negative
versi update agak susah hp oppo vivo kenapa yaa padahal hp dah sport,95.047%,negative
kurang bagus aplikasiny sering error jdny kurang efektif,99.280%,negative
gabisa login inisial mulu,98.596%,negative
apk tolol buat gin aja gak becus gilir korup baru pintar,99.792%,negative
aplikasi kocak login aj susah percumah ngeluarin duit negara hasil nya cuma aplikasi gak jelas,99.759%,negative
masih mentah bayangin gimana nanti kalo indonesia bareng udah siap server nya,96.331%,negative
aplikasi nya sangat sulit bagai it kppssangat hambat pekerjaandipaksa coba berapa kali terus tidak bisa banyak kendala lalu harus bagaimana lagi,99.706%,negative
aplikasi gagal produk gagal jngan guna buat hal yg sangat penting,82.997%,negative
sangat sulit masuk,99.726%,negative
ampas,98.503%,negative
pas update versi malah error timeout jadi sulit masuk,99.414%,negative
aplikasi gak bisa login,88.577%,negative
gagal melulu pak asa udah benar isi,99.676%,negative
tidak bisa buat login saat masuk password mungkin terlalu banyak login se indo jam sama sehingga sering jadi ganggu,98.698%,negative
aplikasi yg belum siap pakai baru testimoni aja sudah banyak trouble padahal ada tempat sinyal yg bagus atur hp aplikasi sudah ikut semua tutorial youtube medsos lain bahkan uninstall instal ulang hp sudah ulang kali serta smartphone nya sudah direstart tetapi juga masih gagal ada yg bisa login tetapi tiba log out otomatis ada yg bisa log in tetapi sistem foto blur inti trouble belum bisa pecah masalah nya lapang,98.572%,negative
aplikasi perintah buruk,99.781%,negative
sekarang tidak bisa dioperikan bagaimana saat hari h nanti,93.720%,negative
sing baleg siatrh atuh ngajieun aplikasi teh loba salah na loba ngabug na loba loading na loba kakurangan na ieu pake jang nagara nu sangkut orang banyak kacau selakih semua orang ribut tuh garagara semua hitung salah euhh maha ieu gajih we gede bari jeung kurang gawe ngariwehkeun hungkul ceuk urng mah teu pantes ieu aplikasi jieun jadi standar ngitung surat suara cacat pis,98.921%,negative
gak usah paksa kalo memang gak bergguna bikin semua orang pusing aja,99.552%,negative
aplikasi tidak bantu hanya sulit,99.231%,negative
aplikasi masih belum matang hanya aktivasi kabupaten servernya sudah lot parah apalagi pas hari-h akan guna negara waktu sama bagai tugas sirekap jadi khawatir,99.612%,negative
aplikasi belum siap guna sulit bukan mudah jauh selalu suruh update simulasi ubah teknis kalau memang belum siap jangan paksa suka keluar sendiri autentikasi sidik jari suka masalah kata sudah direset tapi ada data tinggal update akhir saat unggah harus online tapi warna merah mulu padahal sudah tempat jaring bagus stabil kl warna biru gak masuk server h- tidak ada jelas nyata rawan sekali,98.774%,negative
susah login sampai sekarang tidak bisa telah ada baharu,98.856%,negative
aplikasi gagal,99.579%,negative
aplikasi sulit,99.639%,negative
tidak bisa update versi versi,80.038%,negative
masih sekarang servernya sudah overload apalagi nanti pas hari h gak bayang gimana jadi,99.602%,negative
tidak bisa login selalu password tidak valid,98.162%,negative
oh negriku padahal banyak orang cerdas bobot buat aplikasi seperti kok tidak guna  adakan sayimbar nyeleksi orang bobot apk spt harus tahun belum milu sudah lolos uji segala macam hal,98.434%,negative
login hari tidak bisa loading terus haduch gimana,98.974%,negative
kesel bgt kenapa pas bagi sidik jari gak bisa mulu mna tiap hari donwload hapus aplikasi mulu cape deh,99.705%,negative
burik,99.619%,negative
terlalu paksa apk nya jd ga bisa maximal terlalu lama loadingnya siap dl yg lebih matang klo mau apk nya bs maximal tidak buat ribet rakyat,97.658%,negative
susah masuk aplikasi nya,99.618%,negative
update jadi tidak bisa login t t,55.217%,negative
aplikasi tidak layak pakai,99.635%,negative
sudah install tapi ga bisa sudah guna,64.777%,negative
bug,99.408%,negative
banyak korupsi buat aplikasi perintah lebih bagus aplikasi anak sma multimedia,98.785%,negative
ga jelas,99.776%,negative
tidak bisa guna bagaimana,99.442%,negative
siip,81.042%,negative
kurang sat set,99.106%,negative
aplikasi bikin stres,99.650%,negative
erorr app versi sudah tidak dapat guna udah coba kali kali hp pikir mau meledakkkkkk,99.772%,negative
bikin cepet bikin mumet,56.316%,negative
uang rakyat begitu banyak bikin aplikasi gk kuat beli server kayak orang ambil bansos pake ngantri gimana milu mau lancar efisien masuk aja ngantri upload data pasti ngantri gk guna,99.490%,negative
bikin emosiiii,99.652%,negative
telah update skrg gk bisa login tolong kalian baik kalian paksa pake aplikasi sementara sampah yg kalian sedia,97.200%,negative
aplikasi masih bas web apk jadi kurang maksimal baik jangan satuin lot,98.540%,negative
jadi salah siap perangkat,99.423%,negative
banyak banget kendala tolong baik lagi biar ntar pas hari h tidak erorrrrr,87.666%,negative
aplikasi terlalu ribet harus bisa ringkas proses pengupload an dokumen dasar item yg pilih,98.813%,negative
tuju buat aplikasi adalah mudah bukan sulit uji sabar mau login aja susah saat inisial aplikasi baharu malah akun jadi invalid username password saat upload gambar hasil kurang jernih fokus ga rata tidak kalau hasil foto aplikasi kurang bagus tolong kasih opsi buat upload foto gallery baru simulasi aja susah apalagi pas hari h,95.483%,negative
niat milu ta ora,98.429%,negative
tak lewat lima tahun sekali,74.998%,negative
kenapa tdk bisa login selalu username password salah jadi salah otentikasi gagal hardware biometrik tdk sedia,95.254%,negative
kenapa hp ku tidak bisa buka selalu muncul terang pasti hubung jaring internet,65.976%,negative
gak bisa ambil gambar,98.863%,negative
kalo buat aplikasi jangan tengah bikin ribet tugas kpps login g bisa keluar sendiri hadehh,98.163%,negative
eror berapa kali download,99.572%,negative
aplikasi buang buang uang negara,98.918%,negative
